2025-01-16T15:00:17+0800 | main.py | run | INFO: Item data in 1 added to dataframe.
2025-01-16T15:00:20+0800 | main.py | run | INFO: Item data in 2 added to dataframe.
2025-01-16T15:00:23+0800 | main.py | run | INFO: Item data in 3 added to dataframe.
2025-01-16T15:00:27+0800 | main.py | run | INFO: Item data in 4 added to dataframe.
2025-01-16T15:00:30+0800 | main.py | run | INFO: Item data in 5 added to dataframe.
2025-01-16T15:00:33+0800 | main.py | run | INFO: Item data in 6 added to dataframe.
2025-01-16T15:00:36+0800 | main.py | run | INFO: Item data in 7 added to dataframe.
2025-01-16T15:00:39+0800 | main.py | run | INFO: Item data in 8 added to dataframe.
2025-01-16T15:00:42+0800 | main.py | run | INFO: Item data in 9 added to dataframe.
2025-01-16T15:00:45+0800 | main.py | run | INFO: Item data in 10 added to dataframe.
2025-01-16T15:00:48+0800 | main.py | run | INFO: Item data in 11 added to dataframe.
2025-01-16T15:00:51+0800 | main.py | run | INFO: Item data in 12 added to dataframe.
2025-01-16T15:00:54+0800 | main.py | run | INFO: Item data in 13 added to dataframe.
2025-01-16T15:00:57+0800 | main.py | run | INFO: Item data in 14 added to dataframe.
2025-01-16T15:01:00+0800 | main.py | run | INFO: Item data in 15 added to dataframe.
2025-01-16T15:01:03+0800 | main.py | run | INFO: Item data in 16 added to dataframe.
2025-01-16T15:01:06+0800 | main.py | run | INFO: Item data in 17 added to dataframe.
2025-01-16T15:01:08+0800 | main.py | run | INFO: Item data in 18 added to dataframe.
2025-01-16T15:01:12+0800 | main.py | run | INFO: Item data in 19 added to dataframe.
2025-01-16T15:01:15+0800 | main.py | run | INFO: Item data in 20 added to dataframe.
2025-01-16T15:01:18+0800 | main.py | run | INFO: Item data in 21 added to dataframe.
2025-01-16T15:01:21+0800 | main.py | run | INFO: Item data in 22 added to dataframe.
2025-01-16T15:01:24+0800 | main.py | run | INFO: Item data in 23 added to dataframe.
2025-01-16T15:01:27+0800 | main.py | run | INFO: Item data in 24 added to dataframe.
2025-01-16T15:01:30+0800 | main.py | run | INFO: Item data in 25 added to dataframe.
2025-01-16T15:01:33+0800 | main.py | run | INFO: Item data in 26 added to dataframe.
2025-01-16T15:01:36+0800 | main.py | run | INFO: Item data in 27 added to dataframe.
2025-01-16T15:01:39+0800 | main.py | run | INFO: Item data in 28 added to dataframe.
2025-01-16T15:01:42+0800 | main.py | run | INFO: Item data in 29 added to dataframe.
2025-01-16T15:01:45+0800 | main.py | run | INFO: Item data in 30 added to dataframe.
2025-01-16T15:01:48+0800 | main.py | run | INFO: Item data in 31 added to dataframe.
2025-01-16T15:01:51+0800 | main.py | run | INFO: Item data in 32 added to dataframe.
2025-01-16T15:01:54+0800 | main.py | run | INFO: Item data in 33 added to dataframe.
2025-01-16T15:01:57+0800 | main.py | run | INFO: Item data in 34 added to dataframe.
2025-01-16T15:02:00+0800 | main.py | run | INFO: Item data in 35 added to dataframe.
2025-01-16T15:02:03+0800 | main.py | run | INFO: Item data in 36 added to dataframe.
2025-01-16T15:02:06+0800 | main.py | run | INFO: Item data in 37 added to dataframe.
2025-01-16T15:02:08+0800 | main.py | run | INFO: Item data in 38 added to dataframe.
2025-01-16T15:02:12+0800 | main.py | run | INFO: Item data in 39 added to dataframe.
2025-01-16T15:02:15+0800 | main.py | run | INFO: Item data in 40 added to dataframe.
2025-01-16T15:02:18+0800 | main.py | run | INFO: Item data in 41 added to dataframe.
2025-01-16T15:02:21+0800 | main.py | run | INFO: Item data in 42 added to dataframe.
2025-01-16T15:02:25+0800 | main.py | run | INFO: Item data in 43 added to dataframe.
2025-01-16T15:02:28+0800 | main.py | run | INFO: Item data in 44 added to dataframe.
2025-01-16T15:02:31+0800 | main.py | run | INFO: Item data in 45 added to dataframe.
2025-01-16T15:02:34+0800 | main.py | run | INFO: Item data in 46 added to dataframe.
2025-01-16T15:02:37+0800 | main.py | run | INFO: Item data in 47 added to dataframe.
2025-01-16T15:02:40+0800 | main.py | run | INFO: Item data in 48 added to dataframe.
2025-01-16T15:02:43+0800 | main.py | run | INFO: Item data in 49 added to dataframe.
2025-01-16T15:02:46+0800 | main.py | run | INFO: Item data in 50 added to dataframe.
2025-01-16T15:02:49+0800 | main.py | run | INFO: Item data in 51 added to dataframe.
2025-01-16T15:02:52+0800 | main.py | run | INFO: Item data in 52 added to dataframe.
2025-01-16T15:02:55+0800 | main.py | run | INFO: Item data in 53 added to dataframe.
2025-01-16T15:02:58+0800 | main.py | run | INFO: Item data in 54 added to dataframe.
2025-01-16T15:03:01+0800 | main.py | run | INFO: Item data in 55 added to dataframe.
2025-01-16T15:03:04+0800 | main.py | run | INFO: Item data in 56 added to dataframe.
2025-01-16T15:03:07+0800 | main.py | run | INFO: Item data in 57 added to dataframe.
2025-01-16T15:03:11+0800 | main.py | run | INFO: Item data in 58 added to dataframe.
2025-01-16T15:03:14+0800 | main.py | run | INFO: Item data in 59 added to dataframe.
2025-01-16T15:03:18+0800 | main.py | run | INFO: Item data in 60 added to dataframe.
2025-01-16T15:03:20+0800 | main.py | run | INFO: Item data in 61 added to dataframe.
2025-01-16T15:03:23+0800 | main.py | run | INFO: Item data in 62 added to dataframe.
2025-01-16T15:03:26+0800 | main.py | run | INFO: Item data in 63 added to dataframe.
2025-01-16T15:03:29+0800 | main.py | run | INFO: Item data in 64 added to dataframe.
2025-01-16T15:03:32+0800 | main.py | run | INFO: Item data in 65 added to dataframe.
2025-01-16T15:03:35+0800 | main.py | run | INFO: Item data in 66 added to dataframe.
2025-01-16T15:03:38+0800 | main.py | run | INFO: Item data in 67 added to dataframe.
2025-01-16T15:03:41+0800 | main.py | run | INFO: Item data in 68 added to dataframe.
2025-01-16T15:03:44+0800 | main.py | run | INFO: Item data in 69 added to dataframe.
2025-01-16T15:03:47+0800 | main.py | run | INFO: Item data in 70 added to dataframe.
2025-01-16T15:03:50+0800 | main.py | run | INFO: Item data in 71 added to dataframe.
2025-01-16T15:03:53+0800 | main.py | run | INFO: Item data in 72 added to dataframe.
2025-01-16T15:03:56+0800 | main.py | run | INFO: Item data in 73 added to dataframe.
2025-01-16T15:03:59+0800 | main.py | run | INFO: Item data in 74 added to dataframe.
2025-01-16T15:04:02+0800 | main.py | run | INFO: Item data in 75 added to dataframe.
2025-01-16T15:04:05+0800 | main.py | run | INFO: Item data in 76 added to dataframe.
2025-01-16T15:04:08+0800 | main.py | run | INFO: Item data in 77 added to dataframe.
2025-01-16T15:04:12+0800 | main.py | run | INFO: Item data in 78 added to dataframe.
2025-01-16T15:04:15+0800 | main.py | run | INFO: Item data in 79 added to dataframe.
2025-01-16T15:04:18+0800 | main.py | run | INFO: Item data in 80 added to dataframe.
2025-01-16T15:04:21+0800 | main.py | run | INFO: Item data in 81 added to dataframe.
2025-01-16T15:04:24+0800 | main.py | run | INFO: Item data in 82 added to dataframe.
2025-01-16T15:04:27+0800 | main.py | run | INFO: Item data in 83 added to dataframe.
2025-01-16T15:04:30+0800 | main.py | run | INFO: Item data in 84 added to dataframe.
2025-01-16T15:04:33+0800 | main.py | run | INFO: Item data in 85 added to dataframe.
2025-01-16T15:04:35+0800 | main.py | run | INFO: Item data in 86 added to dataframe.
2025-01-16T15:04:38+0800 | main.py | run | INFO: Item data in 87 added to dataframe.
2025-01-16T15:04:42+0800 | main.py | run | INFO: Item data in 88 added to dataframe.
2025-01-16T15:04:45+0800 | main.py | run | INFO: Item data in 89 added to dataframe.
2025-01-16T15:04:47+0800 | main.py | run | INFO: Item data in 90 added to dataframe.
2025-01-16T15:04:50+0800 | main.py | run | INFO: Item data in 91 added to dataframe.
2025-01-16T15:04:54+0800 | main.py | run | INFO: Item data in 92 added to dataframe.
2025-01-16T15:04:57+0800 | main.py | run | INFO: Item data in 93 added to dataframe.
2025-01-16T15:04:59+0800 | main.py | run | INFO: Item data in 94 added to dataframe.
2025-01-16T15:05:02+0800 | main.py | run | INFO: Item data in 95 added to dataframe.
2025-01-16T15:05:05+0800 | main.py | run | INFO: Item data in 96 added to dataframe.
2025-01-16T15:05:08+0800 | main.py | run | INFO: Item data in 97 added to dataframe.
2025-01-16T15:05:11+0800 | main.py | run | INFO: Item data in 98 added to dataframe.
2025-01-16T15:05:14+0800 | main.py | run | INFO: Item data in 99 added to dataframe.
2025-01-16T15:05:17+0800 | main.py | run | INFO: Item data in 100 added to dataframe.
2025-01-16T15:05:20+0800 | main.py | run | INFO: Item data in 101 added to dataframe.
2025-01-16T15:05:23+0800 | main.py | run | INFO: Item data in 102 added to dataframe.
2025-01-16T15:05:26+0800 | main.py | run | INFO: Item data in 103 added to dataframe.
2025-01-16T15:05:29+0800 | main.py | run | INFO: Item data in 104 added to dataframe.
2025-01-16T15:05:32+0800 | main.py | run | INFO: Item data in 105 added to dataframe.
2025-01-16T15:05:35+0800 | main.py | run | INFO: Item data in 106 added to dataframe.
